http://dx.doi.org/10.1007/s10288-014-0263-6no abstract
http://dx.doi.org/10.1007/s10288-014-0263-6no keywords
http://dx.doi.org/10.1007/s10288-014-0263-6no regerences
http://dx.doi.org/10.1109/TIT.1982.1056492 no institution
http://dx.doi.org/10.1109/TIT.1982.1056492 no regerences
http://dx.doi.org/10.1109/TIT.1982.1056490 no institution
http://dx.doi.org/10.1109/TIT.1982.1056456 no institution
http://dx.doi.org/10.1109/TIT.1982.1056457 no institution
http://dx.doi.org/10.1109/TIT.1982.1056491 no institution
http://dx.doi.org/10.1109/TIT.1982.1056480 no institution
http://dx.doi.org/10.1109/TIT.1982.1056481 no institution
http://dx.doi.org/10.1109/TIT.1982.1056482 no institution
http://dx.doi.org/10.1109/TIT.1982.1056483 no institution
http://dx.doi.org/10.1109/TIT.1982.1056484 no institution
http://dx.doi.org/10.1109/TIT.1982.1056485 no institution
http://dx.doi.org/10.1109/TIT.1982.1056486 no institution
http://dx.doi.org/10.1109/TIT.1982.1056487 no institution
http://dx.doi.org/10.1109/TIT.1982.1056488 no institution
http://dx.doi.org/10.1109/TIT.1982.1056471 no institution
http://dx.doi.org/10.1109/TIT.1982.1056472 no institution
http://dx.doi.org/10.1109/TIT.1982.1056473 no institution
http://dx.doi.org/10.1109/TIT.1982.1056474 no institution
http://dx.doi.org/10.1109/TIT.1982.1056475 no institution
http://dx.doi.org/10.1109/TIT.1982.1056476 no institution
http://dx.doi.org/10.1109/TIT.1982.1056477 no institution
http://dx.doi.org/10.1109/TIT.1982.1056478 no institution
http://dx.doi.org/10.1109/TIT.1982.1056479 no institution
http://dx.doi.org/10.1109/TIT.1982.1056464 no institution
http://dx.doi.org/10.1109/TIT.1982.1056466 no institution
http://dx.doi.org/10.1109/TIT.1982.1056467 no institution
http://dx.doi.org/10.1109/TIT.1982.1056468 no institution
http://dx.doi.org/10.1109/TIT.1982.1056469 no institution
http://dx.doi.org/10.1109/TIT.1982.1056470 no institution
http://dx.doi.org/10.1109/TIT.1982.1056459 no institution
http://dx.doi.org/10.1109/TIT.1982.1056460 no institution
http://dx.doi.org/10.1109/TIT.1982.1056461 no institution
http://dx.doi.org/10.1109/TIT.1982.1056462 no institution
http://dx.doi.org/10.1109/TIT.1982.1056463 no institution
http://dx.doi.org/10.1109/TIT.1982.1056455 no institution
http://dx.doi.org/10.1109/TIT.1982.1056455 no regerences
http://dx.doi.org/10.1109/TIT.1982.1056494 no institution
http://dx.doi.org/10.1109/TIT.1982.1056494 no keywords
http://dx.doi.org/10.1109/TIT.1982.1056494 no regerences
http://dx.doi.org/10.1109/TIT.1982.1056493 no institution
http://dx.doi.org/10.1109/TIT.1982.1056493 no regerences
http://dx.doi.org/10.1109/TIT.1982.1056509 no institution
http://dx.doi.org/10.1109/TIT.1982.1056510 no institution
http://dx.doi.org/10.1109/TIT.1982.1056511 no institution
http://dx.doi.org/10.1109/TIT.1982.1056512 no institution
http://dx.doi.org/10.1109/TIT.1982.1056513 no institution
http://dx.doi.org/10.1109/TIT.1982.1056514 no institution
http://dx.doi.org/10.1109/TIT.1982.1056515 no institution
http://dx.doi.org/10.1109/TIT.1982.1056516 no institution
http://dx.doi.org/10.1109/TIT.1982.1056517 no institution
http://dx.doi.org/10.1109/TIT.1982.1056496 no institution
http://dx.doi.org/10.1109/TIT.1982.1056497 no institution
http://dx.doi.org/10.1109/TIT.1982.1056498 no institution
http://dx.doi.org/10.1109/TIT.1982.1056499 no institution
http://dx.doi.org/10.1109/TIT.1982.1056500 no institution
http://dx.doi.org/10.1109/TIT.1982.1056501 no institution
http://dx.doi.org/10.1109/TIT.1982.1056502 no institution
http://dx.doi.org/10.1109/TIT.1982.1056503 no institution
http://dx.doi.org/10.1109/TIT.1982.1056504 no institution
http://dx.doi.org/10.1109/TIT.1982.1056505 no institution
http://dx.doi.org/10.1109/TIT.1982.1056506 no institution
http://dx.doi.org/10.1109/TIT.1982.1056507 no institution
http://dx.doi.org/10.1109/TIT.1982.1056507 no keywords
http://dx.doi.org/10.1109/TIT.1982.1056508 no institution
http://dx.doi.org/10.1109/TIT.1982.1056508 no keywords
http://dx.doi.org/10.1109/TIT.1982.1056518 no institution
http://dx.doi.org/10.1109/TIT.1982.1056518 no regerences
http://dx.doi.org/10.1109/TIT.1982.1056519 no institution
http://dx.doi.org/10.1109/TIT.1982.1056519 no keywords
http://dx.doi.org/10.1109/TIT.1982.1056519 no regerences
http://dx.doi.org/10.1109/TIT.1982.1056495 no institution
http://dx.doi.org/10.1109/TIT.1982.1056495 no keywords
http://dx.doi.org/10.1109/TIT.1982.1056495 no regerences
http://dx.doi.org/10.1109/TIT.1982.1056522 no institution
http://dx.doi.org/10.1109/TIT.1982.1056523 no institution
http://dx.doi.org/10.1109/TIT.1982.1056524 no institution
http://dx.doi.org/10.1109/TIT.1982.1056525 no institution
http://dx.doi.org/10.1109/TIT.1982.1056526 no institution
http://dx.doi.org/10.1109/TIT.1982.1056527 no institution
http://dx.doi.org/10.1109/TIT.1982.1056528 no institution
http://dx.doi.org/10.1109/TIT.1982.1056529 no institution
http://dx.doi.org/10.1109/TIT.1982.1056532 no institution
http://dx.doi.org/10.1109/TIT.1982.1056531 no institution
http://dx.doi.org/10.1109/TIT.1982.1056533 no institution
http://dx.doi.org/10.1109/TIT.1982.1056535 no institution
http://dx.doi.org/10.1109/TIT.1982.1056530 no institution
http://dx.doi.org/10.1109/TIT.1982.1056537 no institution
http://dx.doi.org/10.1109/TIT.1982.1056534 no institution
http://dx.doi.org/10.1109/TIT.1982.1056536 no institution
http://dx.doi.org/10.1109/TIT.1982.1056538 no institution
http://dx.doi.org/10.1109/TIT.1982.1056539 no institution
http://dx.doi.org/10.1109/TIT.1982.1056540 no institution
http://dx.doi.org/10.1109/TIT.1982.1056521 no institution
http://dx.doi.org/10.1109/TIT.1982.1056520 no institution
http://dx.doi.org/10.1109/TIT.1982.1056551 no institution
http://dx.doi.org/10.1109/TIT.1982.1056552 no institution
http://dx.doi.org/10.1109/TIT.1982.1056542 no institution
http://dx.doi.org/10.1109/TIT.1982.1056542 no keywords
http://dx.doi.org/10.1109/TIT.1982.1056543 no institution
http://dx.doi.org/10.1109/TIT.1982.1056544 no institution
http://dx.doi.org/10.1109/TIT.1982.1056545 no institution
http://dx.doi.org/10.1109/TIT.1982.1056546 no institution
http://dx.doi.org/10.1109/TIT.1982.1056547 no institution
http://dx.doi.org/10.1109/TIT.1982.1056548 no institution
http://dx.doi.org/10.1109/TIT.1982.1056549 no institution
http://dx.doi.org/10.1109/TIT.1982.1056550 no institution
http://dx.doi.org/10.1109/TIT.1982.1056554 no institution
http://dx.doi.org/10.1109/TIT.1982.1056555 no institution
http://dx.doi.org/10.1109/TIT.1982.1056553 no institution
http://dx.doi.org/10.1109/TIT.1982.1056556 no institution
http://dx.doi.org/10.1109/TIT.1982.1056557 no institution
http://dx.doi.org/10.1109/TIT.1982.1056558 no institution
http://dx.doi.org/10.1109/TIT.1982.1056559 no institution
http://dx.doi.org/10.1109/TIT.1982.1056560 no institution
http://dx.doi.org/10.1109/TIT.1982.1056566 no institution
http://dx.doi.org/10.1109/TIT.1982.1056561 no institution
http://dx.doi.org/10.1109/TIT.1982.1056562 no institution
http://dx.doi.org/10.1109/TIT.1982.1056563 no institution
http://dx.doi.org/10.1109/TIT.1982.1056564 no institution
http://dx.doi.org/10.1109/TIT.1982.1056564 no regerences
http://dx.doi.org/10.1109/TIT.1982.1056565 no institution
http://dx.doi.org/10.1109/TIT.1982.1056565 no regerences
http://dx.doi.org/10.1109/TIT.1982.1056585 no institution
http://dx.doi.org/10.1109/TIT.1982.1056586 no institution
http://dx.doi.org/10.1109/TIT.1982.1056587 no institution
http://dx.doi.org/10.1109/TIT.1982.1056588 no institution
http://dx.doi.org/10.1109/TIT.1982.1056589 no institution
http://dx.doi.org/10.1109/TIT.1982.1056590 no institution
http://dx.doi.org/10.1109/TIT.1982.1056591 no institution
http://dx.doi.org/10.1109/TIT.1982.1056592 no institution
http://dx.doi.org/10.1109/TIT.1982.1056593 no institution
http://dx.doi.org/10.1109/TIT.1982.1056594 no institution
http://dx.doi.org/10.1109/TIT.1982.1056577 no institution
http://dx.doi.org/10.1109/TIT.1982.1056578 no institution
http://dx.doi.org/10.1109/TIT.1982.1056579 no institution
http://dx.doi.org/10.1109/TIT.1982.1056580 no institution
http://dx.doi.org/10.1109/TIT.1982.1056581 no institution
http://dx.doi.org/10.1109/TIT.1982.1056582 no institution
http://dx.doi.org/10.1109/TIT.1982.1056583 no institution
http://dx.doi.org/10.1109/TIT.1982.1056584 no institution
http://dx.doi.org/10.1109/TIT.1982.1056570 no institution
http://dx.doi.org/10.1109/TIT.1982.1056570 no keywords
http://dx.doi.org/10.1109/TIT.1982.1056571 no institution
http://dx.doi.org/10.1109/TIT.1982.1056572 no institution
http://dx.doi.org/10.1109/TIT.1982.1056573 no institution
http://dx.doi.org/10.1109/TIT.1982.1056574 no institution
http://dx.doi.org/10.1109/TIT.1982.1056575 no institution
http://dx.doi.org/10.1109/TIT.1982.1056576 no institution
http://dx.doi.org/10.1109/TIT.1982.1056567 no institution
http://dx.doi.org/10.1109/TIT.1982.1056568 no institution
http://dx.doi.org/10.1109/TIT.1982.1056569 no institution
http://dx.doi.org/10.1109/TIT.1982.1056595 no institution
http://dx.doi.org/10.1109/TIT.1982.1056595 no keywords
http://dx.doi.org/10.1109/TIT.1982.1056596 no institution
http://dx.doi.org/10.1109/TIT.1982.1056596 no regerences
http://dx.doi.org/10.1109/TIT.1981.1056281 no institution
http://dx.doi.org/10.1109/TIT.1981.1056282 no institution
http://dx.doi.org/10.1109/TIT.1981.1056305 no institution
http://dx.doi.org/10.1109/TIT.1981.1056304 no institution
http://dx.doi.org/10.1109/TIT.1981.1056307 no institution
http://dx.doi.org/10.1109/TIT.1981.1056296 no institution
http://dx.doi.org/10.1109/TIT.1981.1056297 no institution
http://dx.doi.org/10.1109/TIT.1981.1056298 no institution
http://dx.doi.org/10.1109/TIT.1981.1056299 no institution
http://dx.doi.org/10.1109/TIT.1981.1056300 no institution
http://dx.doi.org/10.1109/TIT.1981.1056301 no institution
http://dx.doi.org/10.1109/TIT.1981.1056302 no institution
http://dx.doi.org/10.1109/TIT.1981.1056303 no institution
http://dx.doi.org/10.1109/TIT.1981.1056290 no institution
http://dx.doi.org/10.1109/TIT.1981.1056291 no institution
http://dx.doi.org/10.1109/TIT.1981.1056292 no institution
http://dx.doi.org/10.1109/TIT.1981.1056293 no institution
http://dx.doi.org/10.1109/TIT.1981.1056294 no institution
http://dx.doi.org/10.1109/TIT.1981.1056295 no institution
http://dx.doi.org/10.1109/TIT.1981.1056295 no keywords
http://dx.doi.org/10.1109/TIT.1981.1056284 no institution
http://dx.doi.org/10.1109/TIT.1981.1056284 no regerences
http://dx.doi.org/10.1109/TIT.1981.1056285 no institution
http://dx.doi.org/10.1109/TIT.1981.1056285 no regerences
http://dx.doi.org/10.1109/TIT.1981.1056286 no institution
http://dx.doi.org/10.1109/TIT.1981.1056286 no regerences
http://dx.doi.org/10.1109/TIT.1981.1056287 no institution
http://dx.doi.org/10.1109/TIT.1981.1056287 no regerences
http://dx.doi.org/10.1109/TIT.1981.1056288 no institution
http://dx.doi.org/10.1109/TIT.1981.1056288 no regerences
http://dx.doi.org/10.1109/TIT.1981.1056289 no institution
http://dx.doi.org/10.1109/TIT.1981.1056289 no regerences
http://dx.doi.org/10.1109/TIT.1981.1056332 no institution
http://dx.doi.org/10.1109/TIT.1981.1056325 no institution
http://dx.doi.org/10.1109/TIT.1981.1056326 no institution
http://dx.doi.org/10.1109/TIT.1981.1056327 no institution
http://dx.doi.org/10.1109/TIT.1981.1056328 no institution
http://dx.doi.org/10.1109/TIT.1981.1056329 no institution
http://dx.doi.org/10.1109/TIT.1981.1056330 no institution
http://dx.doi.org/10.1109/TIT.1981.1056331 no institution
http://dx.doi.org/10.1109/TIT.1981.1056319 no institution
http://dx.doi.org/10.1109/TIT.1981.1056320 no institution
http://dx.doi.org/10.1109/TIT.1981.1056321 no institution
http://dx.doi.org/10.1109/TIT.1981.1056322 no institution
http://dx.doi.org/10.1109/TIT.1981.1056323 no institution
http://dx.doi.org/10.1109/TIT.1981.1056324 no institution
http://dx.doi.org/10.1109/TIT.1981.1056313 no institution
http://dx.doi.org/10.1109/TIT.1981.1056314 no institution
http://dx.doi.org/10.1109/TIT.1981.1056315 no institution
http://dx.doi.org/10.1109/TIT.1981.1056312 no institution
http://dx.doi.org/10.1109/TIT.1981.1056317 no institution
http://dx.doi.org/10.1109/TIT.1981.1056308 no institution
http://dx.doi.org/10.1109/TIT.1981.1056310 no institution
http://dx.doi.org/10.1109/TIT.1981.1056311 no institution
http://dx.doi.org/10.1109/TIT.1981.1056309 no institution
http://dx.doi.org/10.1109/TIT.1981.1056309 no regerences
http://dx.doi.org/10.1109/TIT.1981.1056355 no institution
http://dx.doi.org/10.1109/TIT.1981.1056356 no institution
http://dx.doi.org/10.1109/TIT.1981.1056357 no institution
http://dx.doi.org/10.1109/TIT.1981.1056347 no institution
http://dx.doi.org/10.1109/TIT.1981.1056348 no institution
http://dx.doi.org/10.1109/TIT.1981.1056349 no institution
http://dx.doi.org/10.1109/TIT.1981.1056350 no institution
http://dx.doi.org/10.1109/TIT.1981.1056351 no institution
http://dx.doi.org/10.1109/TIT.1981.1056352 no institution
http://dx.doi.org/10.1109/TIT.1981.1056353 no institution
http://dx.doi.org/10.1109/TIT.1981.1056354 no institution
http://dx.doi.org/10.1109/TIT.1981.1056341 no institution
http://dx.doi.org/10.1109/TIT.1981.1056342 no institution
http://dx.doi.org/10.1109/TIT.1981.1056343 no institution
http://dx.doi.org/10.1109/TIT.1981.1056344 no institution
http://dx.doi.org/10.1109/TIT.1981.1056345 no institution
http://dx.doi.org/10.1109/TIT.1981.1056346 no institution
http://dx.doi.org/10.1109/TIT.1981.1056334 no institution
http://dx.doi.org/10.1109/TIT.1981.1056335 no institution
http://dx.doi.org/10.1109/TIT.1981.1056336 no institution
http://dx.doi.org/10.1109/TIT.1981.1056337 no institution
http://dx.doi.org/10.1109/TIT.1981.1056338 no institution
http://dx.doi.org/10.1109/TIT.1981.1056333 no institution
http://dx.doi.org/10.1109/TIT.1981.1056339 no institution
http://dx.doi.org/10.1109/TIT.1981.1056358 no institution
http://dx.doi.org/10.1109/TIT.1981.1056358 no regerences
http://dx.doi.org/10.1109/TIT.1981.1056359 no institution
http://dx.doi.org/10.1109/TIT.1981.1056359 no regerences
http://dx.doi.org/10.1109/TIT.1981.1056340 no institution
http://dx.doi.org/10.1109/TIT.1981.1056380 no institution
http://dx.doi.org/10.1109/TIT.1981.1056381 no institution
http://dx.doi.org/10.1109/TIT.1981.1056382 no institution
http://dx.doi.org/10.1109/TIT.1981.1056383 no institution
http://dx.doi.org/10.1109/TIT.1981.1056384 no institution
http://dx.doi.org/10.1109/TIT.1981.1056377 no institution
http://dx.doi.org/10.1109/TIT.1981.1056360 no institution
http://dx.doi.org/10.1109/TIT.1981.1056378 no institution
http://dx.doi.org/10.1109/TIT.1981.1056379 no institution
http://dx.doi.org/10.1109/TIT.1981.1056373 no institution
http://dx.doi.org/10.1109/TIT.1981.1056374 no institution
http://dx.doi.org/10.1109/TIT.1981.1056376 no institution
http://dx.doi.org/10.1109/TIT.1981.1056369 no institution
http://dx.doi.org/10.1109/TIT.1981.1056370 no institution
http://dx.doi.org/10.1109/TIT.1981.1056371 no institution
http://dx.doi.org/10.1109/TIT.1981.1056372 no institution
http://dx.doi.org/10.1109/TIT.1981.1056365 no institution
http://dx.doi.org/10.1109/TIT.1981.1056366 no institution
http://dx.doi.org/10.1109/TIT.1981.1056367 no institution
http://dx.doi.org/10.1109/TIT.1981.1056368 no institution
http://dx.doi.org/10.1109/TIT.1981.1056368 no keywords
http://dx.doi.org/10.1109/TIT.1981.1056361 no institution
http://dx.doi.org/10.1109/TIT.1981.1056362 no institution
http://dx.doi.org/10.1109/TIT.1981.1056363 no institution
http://dx.doi.org/10.1109/TIT.1981.1056364 no institution
http://dx.doi.org/10.1109/TIT.1981.1056404 no institution
http://dx.doi.org/10.1109/TIT.1981.1056405 no institution
http://dx.doi.org/10.1109/TIT.1981.1056396 no institution
http://dx.doi.org/10.1109/TIT.1981.1056397 no institution
http://dx.doi.org/10.1109/TIT.1981.1056398 no institution
http://dx.doi.org/10.1109/TIT.1981.1056399 no institution
http://dx.doi.org/10.1109/TIT.1981.1056400 no institution
http://dx.doi.org/10.1109/TIT.1981.1056401 no institution
http://dx.doi.org/10.1109/TIT.1981.1056402 no institution
http://dx.doi.org/10.1109/TIT.1981.1056403 no institution
http://dx.doi.org/10.1109/TIT.1981.1056390 no institution
http://dx.doi.org/10.1109/TIT.1981.1056391 no institution
http://dx.doi.org/10.1109/TIT.1981.1056406 no institution
http://dx.doi.org/10.1109/TIT.1981.1056392 no institution
http://dx.doi.org/10.1109/TIT.1981.1056393 no institution
http://dx.doi.org/10.1109/TIT.1981.1056395 no institution
http://dx.doi.org/10.1109/TIT.1981.1056386 no institution
http://dx.doi.org/10.1109/TIT.1981.1056387 no institution
http://dx.doi.org/10.1109/TIT.1981.1056388 no institution
http://dx.doi.org/10.1109/TIT.1981.1056389 no institution
http://dx.doi.org/10.1109/TIT.1981.1056407 no institution
http://dx.doi.org/10.1109/TIT.1981.1056407 no regerences
http://dx.doi.org/10.1109/TIT.1981.1056408 no institution
http://dx.doi.org/10.1109/TIT.1981.1056408 no regerences
http://dx.doi.org/10.1109/TIT.1981.1056385 no institution
http://dx.doi.org/10.1109/TIT.1981.1056385 no regerences
http://dx.doi.org/10.1109/TIT.1981.1056428 no institution
http://dx.doi.org/10.1109/TIT.1981.1056429 no institution
http://dx.doi.org/10.1109/TIT.1981.1056410 no institution
http://dx.doi.org/10.1109/TIT.1981.1056422 no institution
http://dx.doi.org/10.1109/TIT.1981.1056423 no institution
http://dx.doi.org/10.1109/TIT.1981.1056424 no institution
http://dx.doi.org/10.1109/TIT.1981.1056425 no institution
http://dx.doi.org/10.1109/TIT.1981.1056414 no institution
http://dx.doi.org/10.1109/TIT.1981.1056414 no regerences
http://dx.doi.org/10.1109/TIT.1981.1056426 no institution
http://dx.doi.org/10.1109/TIT.1981.1056409 no keywords
http://dx.doi.org/10.1109/TIT.1981.1056427 no institution
http://dx.doi.org/10.1109/TIT.1981.1056415 no institution
http://dx.doi.org/10.1109/TIT.1981.1056416 no institution
http://dx.doi.org/10.1109/TIT.1981.1056417 no institution
http://dx.doi.org/10.1109/TIT.1981.1056418 no institution
http://dx.doi.org/10.1109/TIT.1981.1056419 no institution
http://dx.doi.org/10.1109/TIT.1981.1056420 no institution
http://dx.doi.org/10.1109/TIT.1981.1056421 no institution
http://dx.doi.org/10.1109/TIT.1981.1056411 no institution
http://dx.doi.org/10.1109/TIT.1981.1056412 no keywords
http://dx.doi.org/10.1109/TIT.1981.1056413 no institution
http://dx.doi.org/10.1109/TIT.1981.1056413 no keywords
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056122 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056123 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056124 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056125 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056126 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056127 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056128 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056129 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056130 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056131 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056132 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056133 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056134 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056135 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056136 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056137 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056138 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056139 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056140 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056141 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056142 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056143 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056144 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056145 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056145 no regerences
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056146 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056146 no regerences
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056147 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056171 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056171 no regerences
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056172 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056172 no regerences
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056149 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056150 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056151 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056152 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056153 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056154 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056155 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056156 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056157 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056158 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056159 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056160 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056161 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056162 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056163 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056164 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056165 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056166 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056167 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056168 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056169 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056170 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056173 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056174 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056192 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056193 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056194 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056195 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056196 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056198 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056197 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056199 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056183 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056200 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056184 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056185 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056186 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056187 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056188 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056189 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056190 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056177 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056191 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056178 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056179 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056175 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056175 no regerences
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056180 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056181 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056176 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056182 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056227 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056219 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056220 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056221 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056222 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056223 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056224 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056225 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056226 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056210 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056211 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056212 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056213 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056214 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056215 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056216 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056217 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056218 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056204 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056205 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056206 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056207 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056208 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056209 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056209 no keywords
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056203 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056203 no regerences
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056201 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056201 no regerences
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056202 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056202 no regerences
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056228 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056228 no keywords
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056229 no institution
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056229 no keywords
http://doi.ieeecomputersociety.org/10.1109/TIT.1980.1056230 no institution
